sessionId,model,actionId,s_t_img,s_t1_img,after_yaw,after_pitch,delta_yaw,delta_pitch,init_yaw,init_pitch,t_start_ms,t_end_ms,duration_ms,server_received_ms
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246020530-861448_before.png,1779246020530-861448_after.png,170.07673301656973,9.961558098090336,5,0,,,1779246020530,1779246020582,52,1779246020590
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246020755-749663_before.png,1779246020755-749663_after.png,175.07673301656973,9.961558098090336,5,0,,,1779246020755,1779246020807,52,1779246020814
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246021028-171374_before.png,1779246021028-171374_after.png,180.0767330165697,9.961558098090336,5,0,,,1779246021028,1779246021090,62,1779246021099
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246021281-655217_before.png,1779246021281-655217_after.png,185.0767330165697,9.961558098090336,5,0,,,1779246021281,1779246021331,50,1779246021337
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246021569-33458_before.png,1779246021569-33458_after.png,190.07673301656968,9.961558098090336,5,0,,,1779246021569,1779246021633,64,1779246021650
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246021804-814851_before.png,1779246021804-814851_after.png,195.07673301656968,9.961558098090336,5,0,,,1779246021804,1779246021857,53,1779246021863
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246022040-486382_before.png,1779246022040-486382_after.png,200.0767330165697,9.961558098090336,5,0,,,1779246022040,1779246022091,51,1779246022098
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246022281-868510_before.png,1779246022281-868510_after.png,205.0767330165697,9.961558098090336,5,0,,,1779246022281,1779246022333,52,1779246022339
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246022517-370395_before.png,1779246022517-370395_after.png,210.0767330165697,9.961558098090336,5,0,,,1779246022517,1779246022571,54,1779246022579
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246022722-140467_before.png,1779246022722-140467_after.png,215.07673301656968,9.961558098090336,5,0,,,1779246022722,1779246022772,50,1779246022781
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246022948-884403_before.png,1779246022948-884403_after.png,220.0767330165697,9.961558098090336,5,0,,,1779246022948,1779246023010,62,1779246023021
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246023153-774027_before.png,1779246023153-774027_after.png,225.0767330165697,9.961558098090336,5,0,,,1779246023153,1779246023206,53,1779246023214
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246023372-134529_before.png,1779246023372-134529_after.png,230.07673301656973,9.961558098090336,5,0,,,1779246023372,1779246023432,60,1779246023443
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246023621-970237_before.png,1779246023621-970237_after.png,235.07673301656968,9.961558098090336,5,0,,,1779246023621,1779246023673,52,1779246023680
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246023868-452409_before.png,1779246023868-452409_after.png,240.0767330165697,9.961558098090336,5,0,,,1779246023868,1779246023933,65,1779246023944
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246024115-863404_before.png,1779246024115-863404_after.png,245.0767330165697,9.961558098090336,5,0,,,1779246024115,1779246024170,55,1779246024180
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246024365-452720_before.png,1779246024365-452720_after.png,250.07673301656968,9.961558098090336,5,0,,,1779246024365,1779246024420,55,1779246024429
